BOLLStrategy_30_2.8,tickers,['ETHUSDT'],initial equity,500.0,frequency,1 min
Start date,2018-07-25 00:00:00+00:00,End date,2018-07-25 04:20:00+00:00
timestamp,ticker,action,quantity,exchange,price,commission
2018-07-25 00:37:00+00:00,ETHUSDT,SHORT,1,ARCA,480.45,0.013
2018-07-25 01:13:00+00:00,ETHUSDT,LONG,1,ARCA,480.13,0.013
2018-07-25 01:57:00+00:00,ETHUSDT,LONG,1,ARCA,482.88,0.013
2018-07-25 02:07:00+00:00,ETHUSDT,SHORT,1,ARCA,481.11,0.013
2018-07-25 03:07:00+00:00,ETHUSDT,SHORT,1,ARCA,476.0,0.013
2018-07-25 03:27:00+00:00,ETHUSDT,LONG,1,ARCA,476.51,0.013
2018-07-25 03:35:00+00:00,ETHUSDT,LONG,1,ARCA,477.1,0.013
2018-07-25 04:05:00+00:00,ETHUSDT,SHORT,1,ARCA,478.65,0.013
