BOLLStrategy_26_2.2,tickers,['ETHUSD'],initial equity,100000.0,frequency,60 min
Start date,2018-04-01 00:00:00,End date,2018-09-01 00:00:00
timestamp,ticker,action,quantity,exchange,price,commission
2018-04-01 15:00:00,ETHUSD,SHORT,100,ARCA,377.0,37.7
2018-04-02 08:00:00,ETHUSD,CLOSE,100,ARCA,383.66,38.36600000000001
2018-04-06 14:00:00,ETHUSD,SHORT,100,ARCA,368.3,36.830000000000005
2018-04-07 09:00:00,ETHUSD,CLOSE,100,ARCA,378.8,37.88
2018-04-07 11:00:00,ETHUSD,LONG,100,ARCA,381.98,38.198
2018-04-09 18:00:00,ETHUSD,CLOSE,100,ARCA,402.63,40.263000000000005
2018-04-10 23:00:00,ETHUSD,LONG,100,ARCA,405.91,40.59100000000001
2018-04-12 14:00:00,ETHUSD,CLOSE,100,ARCA,416.26,41.626000000000005
2018-04-12 19:00:00,ETHUSD,LONG,100,ARCA,462.52,46.252
2018-04-14 04:00:00,ETHUSD,CLOSE,100,ARCA,493.99,49.399
2018-04-15 09:00:00,ETHUSD,LONG,100,ARCA,517.97,51.797000000000004
2018-04-16 10:00:00,ETHUSD,CLOSE,100,ARCA,512.85,51.285000000000004
2018-04-16 20:00:00,ETHUSD,SHORT,100,ARCA,502.61,50.261
2018-04-17 15:00:00,ETHUSD,CLOSE,100,ARCA,514.69,51.46900000000001
2018-04-19 05:00:00,ETHUSD,LONG,100,ARCA,525.36,52.536
2018-04-21 17:00:00,ETHUSD,CLOSE,100,ARCA,589.18,58.918
2018-04-22 16:00:00,ETHUSD,LONG,100,ARCA,622.71,62.27100000000001
2018-04-24 01:00:00,ETHUSD,CLOSE,100,ARCA,636.49,63.649
2018-04-24 08:00:00,ETHUSD,LONG,100,ARCA,662.08,66.20800000000001
2018-04-25 08:00:00,ETHUSD,CLOSE,100,ARCA,685.24,68.524
2018-04-25 11:00:00,ETHUSD,SHORT,100,ARCA,656.19,65.61900000000001
2018-04-26 13:00:00,ETHUSD,CLOSE,100,ARCA,632.41,63.241
2018-04-27 04:00:00,ETHUSD,LONG,100,ARCA,647.45,64.745
2018-04-28 03:00:00,ETHUSD,CLOSE,100,ARCA,658.92,65.892
2018-05-01 04:00:00,ETHUSD,SHORT,100,ARCA,672.29,67.229
2018-05-01 16:00:00,ETHUSD,CLOSE,100,ARCA,672.02,67.202
2018-05-03 06:00:00,ETHUSD,LONG,100,ARCA,690.78,69.078
2018-05-04 23:00:00,ETHUSD,CLOSE,100,ARCA,774.67,77.467
2018-05-06 09:00:00,ETHUSD,LONG,100,ARCA,838.0,83.80000000000001
2018-05-06 13:00:00,ETHUSD,CLOSE,100,ARCA,803.65,80.36500000000001
2018-05-06 16:00:00,ETHUSD,SHORT,100,ARCA,779.85537767,77.98553776700001
2018-05-08 03:00:00,ETHUSD,CLOSE,100,ARCA,756.55,75.655
2018-05-11 01:00:00,ETHUSD,SHORT,100,ARCA,741.27,74.127
2018-05-12 18:00:00,ETHUSD,CLOSE,100,ARCA,681.74,68.174
2018-05-13 17:00:00,ETHUSD,LONG,100,ARCA,698.17,69.817
2018-05-14 11:00:00,ETHUSD,CLOSE,100,ARCA,694.94,69.49400000000001
2018-05-15 22:00:00,ETHUSD,SHORT,100,ARCA,711.72,71.17200000000001
2018-05-16 19:00:00,ETHUSD,CLOSE,100,ARCA,705.13,70.513
2018-05-18 02:00:00,ETHUSD,SHORT,100,ARCA,680.49,68.049
2018-05-19 00:00:00,ETHUSD,CLOSE,100,ARCA,679.81,67.981
2018-05-19 19:00:00,ETHUSD,LONG,100,ARCA,710.15,71.015
2018-05-20 05:00:00,ETHUSD,CLOSE,100,ARCA,690.03,69.003
2018-05-21 22:00:00,ETHUSD,SHORT,100,ARCA,699.25,69.925
2018-05-24 12:00:00,ETHUSD,CLOSE,100,ARCA,608.5,60.85
2018-05-26 06:00:00,ETHUSD,SHORT,100,ARCA,571.82,57.18200000000001
2018-05-26 15:00:00,ETHUSD,CLOSE,100,ARCA,599.01,59.901
2018-05-28 13:00:00,ETHUSD,SHORT,100,ARCA,510.26,51.026
