BOLLStrategy_26_1.5,tickers,['ETHUSD'],initial equity,100000.0,frequency,60 min
Start date,2018-04-01 00:00:00,End date,2018-09-01 00:00:00
timestamp,ticker,action,quantity,exchange,price,commission
2018-04-01 04:00:00,ETHUSD,SHORT,100,ARCA,393.68,39.368
2018-04-02 08:00:00,ETHUSD,CLOSE,100,ARCA,383.66,38.36600000000001
2018-04-02 15:00:00,ETHUSD,LONG,100,ARCA,388.95,38.895
2018-04-03 02:00:00,ETHUSD,CLOSE,100,ARCA,383.59,38.359
2018-04-06 14:00:00,ETHUSD,SHORT,100,ARCA,368.3,36.830000000000005
2018-04-07 09:00:00,ETHUSD,CLOSE,100,ARCA,378.8,37.88
2018-04-07 10:00:00,ETHUSD,LONG,100,ARCA,379.22,37.922000000000004
2018-04-09 18:00:00,ETHUSD,CLOSE,100,ARCA,402.63,40.263000000000005
2018-04-10 23:00:00,ETHUSD,LONG,100,ARCA,405.91,40.59100000000001
2018-04-12 14:00:00,ETHUSD,CLOSE,100,ARCA,416.26,41.626000000000005
2018-04-12 19:00:00,ETHUSD,LONG,100,ARCA,462.52,46.252
2018-04-14 04:00:00,ETHUSD,CLOSE,100,ARCA,493.99,49.399
2018-04-14 20:00:00,ETHUSD,SHORT,100,ARCA,489.66,48.96600000000001
2018-04-15 02:00:00,ETHUSD,CLOSE,100,ARCA,501.46,50.146
2018-04-15 09:00:00,ETHUSD,LONG,100,ARCA,517.97,51.797000000000004
2018-04-16 10:00:00,ETHUSD,CLOSE,100,ARCA,512.85,51.285000000000004
2018-04-16 13:00:00,ETHUSD,SHORT,100,ARCA,507.02,50.702
2018-04-17 15:00:00,ETHUSD,CLOSE,100,ARCA,514.69,51.46900000000001
2018-04-17 16:00:00,ETHUSD,LONG,100,ARCA,517.01,51.701
2018-04-18 02:00:00,ETHUSD,CLOSE,100,ARCA,506.69,50.669000000000004
2018-04-19 04:00:00,ETHUSD,LONG,100,ARCA,522.66,52.266
2018-04-21 17:00:00,ETHUSD,CLOSE,100,ARCA,589.18,58.918
2018-04-22 16:00:00,ETHUSD,LONG,100,ARCA,622.71,62.27100000000001
2018-04-24 01:00:00,ETHUSD,CLOSE,100,ARCA,636.49,63.649
2018-04-24 08:00:00,ETHUSD,LONG,100,ARCA,662.08,66.20800000000001
2018-04-25 08:00:00,ETHUSD,CLOSE,100,ARCA,685.24,68.524
2018-04-25 11:00:00,ETHUSD,SHORT,100,ARCA,656.19,65.61900000000001
2018-04-26 13:00:00,ETHUSD,CLOSE,100,ARCA,632.41,63.241
2018-04-27 04:00:00,ETHUSD,LONG,100,ARCA,647.45,64.745
2018-04-28 03:00:00,ETHUSD,CLOSE,100,ARCA,658.92,65.892
2018-04-28 07:00:00,ETHUSD,SHORT,100,ARCA,643.49,64.349
2018-04-28 09:00:00,ETHUSD,CLOSE,100,ARCA,667.0,66.7
2018-04-28 20:00:00,ETHUSD,LONG,100,ARCA,690.71,69.07100000000001
2018-04-29 16:00:00,ETHUSD,CLOSE,100,ARCA,673.14,67.31400000000001
2018-04-29 16:00:00,ETHUSD,SHORT,100,ARCA,673.14,67.31400000000001
2018-04-30 06:00:00,ETHUSD,CLOSE,100,ARCA,688.1,68.81
2018-05-01 04:00:00,ETHUSD,SHORT,100,ARCA,672.29,67.229
2018-05-01 16:00:00,ETHUSD,CLOSE,100,ARCA,672.02,67.202
2018-05-02 12:00:00,ETHUSD,LONG,100,ARCA,677.21,67.721
2018-05-04 23:00:00,ETHUSD,CLOSE,100,ARCA,774.67,77.467
2018-05-05 11:00:00,ETHUSD,LONG,100,ARCA,805.51,80.551
2018-05-06 04:00:00,ETHUSD,CLOSE,100,ARCA,806.06,80.606
2018-05-06 08:00:00,ETHUSD,LONG,100,ARCA,830.0,83.0
2018-05-06 13:00:00,ETHUSD,CLOSE,100,ARCA,803.65,80.36500000000001
2018-05-06 14:00:00,ETHUSD,SHORT,100,ARCA,795.94,79.59400000000001
2018-05-08 03:00:00,ETHUSD,CLOSE,100,ARCA,756.55,75.655
