EMVStrategy_26_10_26,tickers,['ETHUSDT'],initial equity,500.0,frequency,1 min
Start date,2018-07-25 00:00:00+00:00,End date,2018-07-25 04:20:00+00:00
timestamp,ticker,action,quantity,exchange,price,commission
2018-07-25 00:26:00+00:00,ETHUSDT,LONG,1,ARCA,484.44,0.013
2018-07-25 00:45:00+00:00,ETHUSDT,SHORT,1,ARCA,482.36,0.013
2018-07-25 01:27:00+00:00,ETHUSDT,LONG,1,ARCA,480.98,0.013
2018-07-25 02:05:00+00:00,ETHUSDT,SHORT,1,ARCA,481.76,0.013
2018-07-25 02:53:00+00:00,ETHUSDT,LONG,1,ARCA,477.82,0.013
2018-07-25 03:17:00+00:00,ETHUSDT,SHORT,1,ARCA,476.69,0.013
2018-07-25 03:37:00+00:00,ETHUSDT,LONG,1,ARCA,476.93,0.013
2018-07-25 04:13:00+00:00,ETHUSDT,SHORT,1,ARCA,479.38,0.013
