EMVStrategy_10_30_10,tickers,['ETHUSDT'],initial equity,500.0,frequency,1 min
Start date,2018-07-25 00:00:00+00:00,End date,2018-07-25 04:20:00+00:00
timestamp,ticker,action,quantity,exchange,price,commission
2018-07-25 00:10:00+00:00,ETHUSDT,LONG,1,ARCA,482.53,0.013
2018-07-25 00:36:00+00:00,ETHUSDT,SHORT,1,ARCA,482.01,0.013
2018-07-25 01:12:00+00:00,ETHUSDT,LONG,1,ARCA,479.8,0.013
2018-07-25 01:42:00+00:00,ETHUSDT,SHORT,1,ARCA,480.38,0.013
2018-07-25 02:00:00+00:00,ETHUSDT,LONG,1,ARCA,482.1,0.013
2018-07-25 02:13:00+00:00,ETHUSDT,SHORT,1,ARCA,479.68,0.013
2018-07-25 02:39:00+00:00,ETHUSDT,LONG,1,ARCA,478.21,0.013
2018-07-25 03:05:00+00:00,ETHUSDT,SHORT,1,ARCA,477.06,0.013
2018-07-25 03:22:00+00:00,ETHUSDT,LONG,1,ARCA,475.93,0.013
2018-07-25 04:07:00+00:00,ETHUSDT,SHORT,1,ARCA,479.3,0.013
